ConstituentID,DisplayName,Nationality
1,Robert Arneson,UNITED STATES OF AMERICA
2,Doroteo Arnaiz,Spain
3,Bill Arnold,UNITED STATES OF AMERICA
4,Charles Arnoldi,UNITED STATES OF AMERICA
5,Per Arnoldi,Denmark
6,Danilo Aroldi,Italy
7,Bill Aron,UNITED STATES OF AMERICA
9,David Aronson,UNITED STATES OF AMERICA
10,Irene Aronson,UNITED STATES OF AMERICA
11,Jean (Hans) Arp,France
12,Jri Arrak,Estonian
13,Jos Arellano Fischer,Mexico
15,Folke Arstrom,Swedish
16,Cristobal Arteche,Spain
19,Richard Artschwager,UNITED STATES OF AMERICA
21,Ruth Asawa,UNITED STATES OF AMERICA
22,Isidora Aschheim,Israeli
23,Charles Robert Ashbee,United Kingdom
24,Donald Ashcraft,UNITED STATES OF AMERICA
25,E. M. Ashe,UNITED STATES OF AMERICA
26,Gran slin,Swedish
27,Erik Gunnar Asplund,Swedish
28,Genevive Asse,France
30,Sergio Asti,Italy
31,Dana Atchley,UNITED STATES OF AMERICA
32,Atelier Eggers,France
33,A.A.P.,UNITED STATES OF AMERICA
34,Alvar Aalto,Finnish
35,Aino Aalto,Finnish
36,Eero Aarnio,Finnish
37,Jules Aarons,UNITED STATES OF AMERICA
38,Magdalena Abakanowicz,Polish
39,James Abbe,UNITED STATES OF AMERICA
40,Jussuf Abbo,Palestinian
41,Berenice Abbott,UNITED STATES OF AMERICA
42,Nobuya Abe,Japan
43,Abe Shiro (pen Name: Suichiku),Japan
44,Robert Abel,UNITED STATES OF AMERICA
46,Sigmund Abeles,UNITED STATES OF AMERICA
47,Raimund Abraham,UNITED STATES OF AMERICA
49,Ivor Abrahams,United Kingdom
50,Gerald Abramovitz,United Kingdom
51,William Ross Abrams,UNITED STATES OF AMERICA
52,Rodolfo Abularach,Guatemalan
53,Vito Acconci,UNITED STATES OF AMERICA
54,Milton Ackoff,UNITED STATES OF AMERICA
55,Norman Ackroyd,United Kingdom
56,Luis Alberto Acua,Colombian
57,Henri Georges Adam,France
58,Antoine Samuel Adam-Salomon,France
59,Valerio Adami,Italy
60,Ansel Adams,UNITED STATES OF AMERICA
61,Alice Adams,UNITED STATES OF AMERICA
62,Clinton Adams,UNITED STATES OF AMERICA
63,Dacres Adams,United Kingdom
64,Dennis Adams,UNITED STATES OF AMERICA
65,Kenneth M. Adams,UNITED STATES OF AMERICA
66,Robert Adams,UNITED STATES OF AMERICA
67,Shelby Lee Adams,UNITED STATES OF AMERICA
68,Charles Addams,UNITED STATES OF AMERICA
69,Allan Adler,UNITED STATES OF AMERICA
70,Jankel Adler,Polish
71,Virginia Admiral,UNITED STATES OF AMERICA
72,Pic Adrian,Romanian
74,Roy Adzak,United Kingdom
76,Nicholas Africano,UNITED STATES OF AMERICA
77,Afro (Afro Basaldella),Italy
78,Aftograf,Russia
79,Agam (Yaacov Agam),Israeli
80,Mehemed Fehmy Agha,UNITED STATES OF AMERICA
81,Kathleen Agnoli,UNITED STATES OF AMERICA
82,Peter Agostini,UNITED STATES OF AMERICA
83,Olympe Aguado de las Marismas,France
84,Dongkuk S. Ahn,UNITED STATES OF AMERICA
85,Aarne Aho,Finnish
86,Otl Aicher (also known as Otto Aicher),Germany
87,Lucien Aigner,UNITED STATES OF AMERICA
88,Gregory Ain,UNITED STATES OF AMERICA
89,Edgar Ainsworth,United Kingdom
91,Roberto Aizenberg,Argentina
92,Kinji Akagawa,UNITED STATES OF AMERICA
93,Ryoji Akiyama,Japan
94,Munira Al-Kazi,Kuwaiti
95,Alastair (Hans H. Voight),Germany
96,Anni Albers,UNITED STATES OF AMERICA
97,Josef Albers,UNITED STATES OF AMERICA
98,Beatrice Albert,UNITED STATES OF AMERICA
99,Joan Albert,UNITED STATES OF AMERICA
100,Ivan LeLorraine Albright,UNITED STATES OF AMERICA
103,Albert Alcalay,UNITED STATES OF AMERICA
104,L. (Alfred Lewin Copley) Alcopley,UNITED STATES OF AMERICA
105,A. Alcorn,UNITED STATES OF AMERICA
106,Alan Aldridge,United Kingdom
107,Pierre Alechinsky,Belgium
