 ,,,Gender
Robert Arneson,,,Male
Doroteo Arnaiz,,,Male
Bill Arnold,,,Male
Charles Arnoldi,,,Male
Per Arnoldi,,,Male
Danilo Aroldi,,,Male
Bill Aron,,,Male
David Aronson,,,Male
Irene Aronson,,,Female
Jean (Hans) Arp,,,Male
Jüri Arrak,,,Male
José Arellano Fischer,,,Male
Folke Arstrom,,,Male
Cristobal Arteche,,,Male
Artko,,,
Richard Artschwager,,,Male
Ruth Asawa,,,Female
Isidora Aschheim,,,Female
Charles Robert Ashbee,,,Male
Donald Ashcraft,,,Male
E. M. Ashe,,,Male
Göran Åslin,,,
Erik Gunnar Asplund,,,Male
Geneviève Asse,,,Female
Sergio Asti,,,Male
Dana Atchley,,,Female
Atelier Eggers,,,
A.A.P.,,,
Alvar Aalto,,,Male
Aino Aalto,,,Female
Eero Aarnio,,,Male
Jules Aarons,,,Male
Magdalena Abakanowicz,,,Female
James Abbe,,,Male
Jussuf Abbo,,,Male
Berenice Abbott,,,Female
Nobuya Abe,,,Male
Abe Shiro (pen Name: Suichiku),,,Male
Robert Abel,,,Male
Sigmund Abeles,,,Male
Raimund Abraham,,,Male
Ivor Abrahams,,,Male
Gerald Abramovitz,,,Male
William Ross Abrams,,,Male
Rodolfo Abularach,,,Male
Vito Acconci,,,Male
Milton Ackoff,,,Male
Norman Ackroyd,,,Male
Luis Alberto Acuña,,,Male
Henri Georges Adam,,,Male
Antoine Samuel Adam-Salomon,,,Male
Valerio Adami,,,Male
Ansel Adams,,,Male
Alice Adams,,,Female
Clinton Adams,,,Male
Dacres Adams,,,Male
Dennis Adams,,,Male
Kenneth M. Adams,,,Male
Robert Adams,,,Male
Shelby Lee Adams,,,Male
Charles Addams,,,Male
Allan Adler,,,Male
Jankel Adler,,,Male
Virginia Admiral,,,Female
Pic Adrian,,,Male
Roy Adzak,,,Male
Nicholas Africano,,,Male
Afro (Afro Basaldella),,,Male
Aftograf,,,
Agam (Yaacov Agam),,,Male
Mehemed Fehmy Agha,,,Male
Kathleen Agnoli,,,Female
Peter Agostini,,,Male
Olympe Aguado de las Marismas,,,Male
Dongkuk S. Ahn,,,Male
Aarne Aho,,,Male
Otl Aicher (also known as Otto Aicher),,,Male
Lucien Aigner,,,Male
Gregory Ain,,,Male
Edgar Ainsworth,,,Male
Roberto Aizenberg,,,Male
Kinji Akagawa,,,Male
Ryoji Akiyama,,,Male
Munira Al-Kazi,,,Female
Alastair (Hans H. Voight),,,Male
Anni Albers,,,Female
Josef Albers,,,Male
Beatrice Albert,,,Female
